quotes,
"The planet has a kind of intelligence, it can actually open a channel of communication with an individual human being. The message that nature sends is, transform your language through a synergy between electronic culture and the psychedelic imagination, a synergy between dance and idea, a synergy between understanding and intuition, and dissolve the boundaries that your culture has sanctioned between you, to become part of this Gaian supermind",
"In a way, this is a definition of shamanism. A shaman is a person who by some means has gotten out of their own culture.",
"The shaman is the figure at the beginning of human history that unites the doctor, the scientist and the artist into a single notion of care-giving and creativity.",
"The Truth doesn't need your cooperation to exist. All forms of cult, all forms of hype, all forms of delusion do require your participation in order to exist. I've looked into marginal areas of human experience -historical and otherwise- with a rational mind, and what I've found is that doorways into the miraculous are far fewer than the publicists of the New Age would have us believe. On the other hand, they are not as rare as the proponents of radical reductionism and materialism would have us believe. There are doorways out of the mundane.",
"DMT seems to argue, convincingly I might add, that the world is made entirely of something, for want of a better word, we would have to call magic.",
People have a right to get stoned. They have a right to think and explore their own minds. This is as intimate a part of their being as their sexuality. Any culture which mitigates that is clearly afraid of a full and fair and open dialogue about what reality is and what real human values ought to be.,
"We're not going to save the monkey unless we can shed the monkey. And the greatest impetus, the greatest inspiration to the expression of our higher selves comes in the confrontation with psyche that occurs in the psychedelic experience.",
I'm not an advocate for everything that rolls out of the laboratory. I'm an advocate for things sanctioned by millennia of usage.,
"We [psychonauts] are all going to go into the books as pioneers, because it's too early for us to be anything else. There's no map, no finished database, just anecdotes of the crazy, crazy stuff that goes on. That's why it's so important to try and share [our stories].",
"Cultivate an ongoing stream of self-description, telling yourself what is happening. Get used to the idea that mind can penetrate the immediate surface of being and reveal the tactile density of it as a manifold whose measure cannot be immediately taken by the eyes, that it's deep, it's connected, it's complex. Everything holds within itself the anticipation and the memory of everything else.",
"There is no mundane dimension really, if you have the eyes to see it, it is all transcendental.",
The obligation on us is to communicate the truth so that it is understood. The belief will take care of itself.,
"What WE represent is the nexus of concrescent novelty that has been moving itself together, complexifying itself, folding itself in upon itself for billions and billions of years. There is, so far as we know, nothing more advanced than what is sitting behind your eyes. The human neocortex is the most densely ramified complexified structure in the known universe.",
Our assumptions are the edges of our worlds.,
The movement of a single atom from one known position to another known position changes an experience from nothing to overwhelming. This means that mind and matter at the quantum mechanical level are all spun together.,
It is the people who are 'far out' who are gaining advantage in the evolutionary jostling for efficacious strategies.,
Time will perfect matter.,
"In 1948, television was introduced, and millions and millions of people lead larval, low-awareness, warehoused lives mainlining an electronic drug straight into their brains.",
The Gaian mind is what were calling the psychedelic experience. Its an experience of the living fact of the entelechy of the planet - and without that experience we wander in a desert of bogus ideologies. But with that experience the compass of the self can be set.,
"As I see it, Being, the Cosmos, whatever you want to call it, is a struggle between two implacable forces: Novelty on the one side and habit on the other side.",
"A long long time ago I took an oath to tell all secrets that came my way. Don't tell me a secret, I won't keep it. I'm against secrets, I'm against hierarchies, lineages, all assumption of special knowledge on the part of anyone in the presence of anyone else is abhorrent to me. I mean, I am a true anarchist first and foremost.",
The mind is the cutting edge of the evolving event system.,
"Once you get to this place on what we might metaphorically call your spiritual quest, once you get to the place where you hear about psychedelics, the issue is no longer then about where is the gas peddle on the spiritual vehicle. The issue suddenly becomes, where is the brake? Because this is the fuel to go where you want to go. This is the power to lift you where you want to be lifted.",
People are concrescences of ambiguity.,
"Reality is, you know, the tip of an iceberg of irrationality that we've managed to drag ourselves up onto for a few panting moments before we slip back into the sea of the unreal.",
I believe reality is a marvelous joke staged for my edification and amusement and everybody is working very hard to make me happy.,
Alchemy is really the secret tradition of the redemption of spirit from matter.,
History is rooted in the future,
"The Germans take quite a knock for the holocaust, but the Catholic church manages to push more people into death, disease, and degradation every year than the holocaust managed in its entire show. And it's thought rather crass to even mention the fact. It seems to me that as long as these Catholic bishops can show their face in public that we are in complicity with mass murder.",
"Part of what is wrong with our society, and hence with ourselves, is that we consume images, we don't produce them. We need to produce, not consume, media.",
"And what is shamanism but philosophy with a hands-on attitude. Philosophy not made around the camp fire, but philosophy based on the acquisition of extreme experience. That's how you figure out what the world is, not by bicycling around in the burbs, but by forcing extreme experience.",
There is no contradiction between technology and spirit. There is no contradiction between the search for intellectual integration and understanding and the psychedelic experience. There is no contradiction between ultra-advanced hyperspacial cyber culture and Paleolithic archaic culture. We have come to the end of our sojourn in matter. We have come to the end of our separateness.,
"I think the entire message of the psychedelic experience, which is basically the sine qua non of the rebirth of alchemical understanding, the very basis of that understanding is that nature seeks to communicate.",
"My voice speaking is a monkey's mouth making little mouth noises that are carrying agree-upon meaning, and it is meaning that matters. Without the meaning one has only little mouth noises",
"What I'm talking about is actually is the Mystery of Being as existential fact. That there is something that haunts this world that can take apart and reduce every single one of us to a mixture of terror and ecstasy, fear and trembling. It is not an idea, that's the primary thing to bear in mind. It's an experience.",
I'm as against restricting access to drugs as I am to burning books. It offends me in the same way.,
"We can move no faster than the evolution of our language, and this is certainly part of what the psychedelics are about: they force the evolution of language.",
"Nature has an economy, an elegance, a style, that if we could but emulate it we could rise out of the rubble we are making out of the planet",
Hallucinogenic plants act as enzymes which stimulate imagination.,
"Inside the boundaries of the old paradigm there's no hope, there's no way out of the box of capitalism, monogamy, consumer fetishism, egoism, money worship, no way out. No way. No way out!",
"And what we're looking toward is a moment when the artificial language structures which bind us within the notion of ourselves are dissolved in the presence of the realization that we are a part of nature. And when that happens, the childhood of our species will pass away, and we will stand tremulously on the brink of really the first moment of coherent human civilization.",
The immediate future of man lies in the imagination and in seeking the dimension where the imagination can be expressed.,
"It seems to me that information is the thing which uses matter, uses light, uses spirit, uses whatever it can put its hands on to organize itself into higher and higher levels of self-reflection.",
"This is a general law of the universe, overlooked by science, that out of complexity emerges greater complexity. We could almost say that the universe, nature, is a novelty-conserving, or complexity-conserving engine.",
These religions that are so freighted with their own pomposity are no better than inspired guesses.,
"All the accoutrements that distinguish us from animal existence were put in place when we had a different kind of mind than we have now. We didn't have a mind that favored role specialization, and male dominance, and anxiety over female sexual activity related to feelings of male ownership. That all came later.",
"As a society we cannot seem to make peace with nature. As individuals, it's hard for us to be at peace with ourselves.",
"Time is a topological manifold. It is a surface. Events flow across it like water over land and like water flowing over land, when the land is flat, the water becomes reflective and moves slowly. When the landscape becomes disrupted, the water moves faster and chaotic attractors appear and new kinds of activity emerge and out of that new activity, there comes the new states that define the future.",
"Without sounding too cliché, the Internet really is the birth of some kind of global mind.",
"We are an intelligent species caught in an historical process. No generation which proceeded us knew what was going on, and there is no reason to assume that we know what's going on or that the generation which follows us will know what's going on. And what kind of trip is it anyway to insist on knowing what's going on?",
The imagination is the goal of history. I see culture as an effort to literally realize our collective dreams.,
"A birth is a death. Everything you treasure, and believe in, and love, and relate to is destroyed for you when you leave the womb. And you are launched into another modality, a modality that perhaps you would not have chosen but that you cannot do anything about.",
"'Drugs' and psychedelics are not two members of a family, they are antithetically opposed to each other. The pro-psychedelic position is an anti-drug position.",
It's our machines and our technologies that are now the major evolutionary forces acting upon us. It's not our political systems.,
"So the conclusion that I reach, visa vie the individual and civilization, is this: Culture is not our friend. Culture is not your friend. It's not my friend. It's a very uncomfortable set of accommodations that have been hammered out over time for the convenience of institutions.",
The mind is a far bigger domain than we ever imagined.,
"Right here and now, one quanta away, there is raging a universe of active intelligence that is transhuman, hyperdimensional, and extremely alien... What is driving religious feeling today is a wish for contact with this other universe.",
The lack of a sense of history makes us really prey to manipulation.,
Only responsible human beings can exist in an anarchistic society.,
"What the psychedelic experience really is, is opening the doorway into a lost continent of the human mind, a continent that we have almost lost all connection to, and the nature of this lost world of the human mind is that it is a Gaian entelechy.",
"The 20th century mind is nostalgic for the paradise that once existed on the mushroom dotted plains of Africa where the plant-human symbiosis occurred that pulled us out of the animal body and into the tool-using, culture-making, imagination-exploring creature that we are. And why does this matter? It matters because it shows that the way out is back and that the future is a forward escape into the past. This is what the psychedelic experience means. Its a doorway out of history and into the wiring under the board in eternity.",
"The world is mental in some way that we do not yet understand, but that which we're edging toward understanding. And the world is made of language. I can't say that enough. Whenever we get into these discussions about reality, or effects in space and time, we are operating outside this assumption that the world is made of language.",
"To carry language from two dimensions into three is the task of the poets, and the rebels in the 20th Century.",
"The reason for the emphasis on shamanism and on other techniques is, you will need techniques if you go into the deep water. And they can make your life very simple and save you from unnecessary suffering. Not all suffering is necessary. Maybe no suffering is necessary.",
Our culture difinitely takes an egocentric dominator view. The fear of the psychedelic experience is quite literally the fear of losing control. Dominator types today don't understand that it's not important to maintain control if you are not in control in the first place.,
The miracle of our predicament is not how long everything has been in place but how brief it all has been.,
"Chaos is roving through the system and able to undo, at any point, the best laid plans.",
"This is what magic is. It's being able to speak in a voice which makes things happen, being able to speak in a voice which causes facts to be beheld by groups of people in a way that has been purged from profane language, for us relegated to poetry and that sort of thing.",
"It is curious that what these psychedelics do, on a scale of a community, is they release new ideas. . . . And that this is how culture moves forward. That culture is a phenomenon dependent on the generation of ideas, plans, notions, connections. So this is precisely what these compounds are doing.",
"Shamanism is not some obscure concern of cultural anthropologists. Shamanism is how religion was practiced for its first million years. Up until about 12,000 years ago there was no other form of religion on this planet. That was how people attained some kind of access to the sacred.",
The real nature of our predicament is completely opaque to us.,
And I don't mean this metaphorically. I want to be taken seriously as proposing that the ennui of modernity is the consequence of a disruptive symbiotic relationship between ourselves and vegetable nature.,
"Shamanism, on the other hand, is this world wide, since Paleolithic-times, tradition which says that you must make your own experience the center piece of any model of the world that you build.",
"The terror of drugs is a terror of giving up control. This is what people are most alarmed about by psychedelics, is the giving up control.",
"The Internet is the global brain, the cyberspacially connected, telepathic, collective domain that we've all been hungering for.",
"I see the psychedelic experience as a birthright, and we can't have a free society until people are free to explore their own mind.",
"I think our intelligence is a source of toxicity to nature and discomfort to ourselves unless our values are based on planetary values, are linked to the values of the rest of nature. Intelligence is not a license to trample. The proper role of intelligence in a planetary ecology is that of gardener, caregiver and maintainer of balance.",
The history of man that you don't know is what your unconscious is made out of. Just as the history of yourself that you don't know is what your personal unconscious is made out of.,
Plants seem like an excellent model for the kind of future that we should be building.,
The world is not an unsolved problem for scientists or sociologists. The world is a living mystery.,
"There is this persistent theme in all of these notions that death is made more easy, whatever that means, if you've learned the territory before you get there. And you know, in the Mahayana Buddhist situation it even becomes as extreme as saying; 'life is essentially a preparation for death, a studying of the maps of a learning of the skills a packing of your picnic basket so that when you get out there and demons are sniffing you up one side and down the other you don't bungle your mantras'.",
"Television, while chemically non-invasive, nevertheless is every bit as addicting and physiologically damaging as any other drug.",
There is no hierarchy of elder knowledge in my social region of things. There are only people learning and sharing in a very complex environment.,
"Culture is the greatest barrier to your enlightenment, your education, and your decency.",
"Nature is not our enemy, to be raped and conquered. Nature is ourselves, to be cherished and explored.",
"If you charge off with some political agenda that is not informed by clarity, you are going to end up with business as usual. The road to hell is paved with good intentions but it is not paved with clarity.",
"My idea of enlightenment is when ego and Tao are fused, and Tao is perceived as ego. Then everything happens with complete appropriateness.",
"And that we cannot go to space with our feet in the mud. Nor can we in fact turn ourselves into an eco-sensitive hallucinogenic-based culture on Earth unless we fuse these dichotomous opposites. It is only in a coincidencia oppositorum, a union of opposites, that does not strive for closure, that we are going to find cultural sanity. And this is the thing that the entheogens, the hallucinogens, deliver with such clarity and regularity. They raise paradox to a level of intensity that no one can evade.",
"To date, the enterprise of thinking has moved us radically away from understanding anything.",
The mystery is in the body and the way the body works itself into nature.,
Drugs induce paranoia and psychosis in people who have never taken any.,
I think really what unites psychedelic people is the faith in the power of the imagination.,
We are like caterpillars contemplating pupation.,
The momentum now is inevitable. Now it's about each of us individually arranging the furniture of our own mind to deal with what has become inevitable.,
It is slowly becoming understood that the modality of being is the modality of mind.,
"For me it's an issue of are we afraid of ourselves? And we inherit a huge bunch of idealogical baggage, not only Christianity, but Freudianism, and Marxism . . . We inherit all kinds of idealogical baggage designed to make us fear ourselves.",
"We're not mere spectators, or a cosmic accident, or some sideshow, or the Greek chorus to the main event. The human experience IS the main event.",
"I'm fascinated by hallucinations. I mean, to me that is the sina qua non that you're getting somewhere.",
Niagaras of beauty are flowing by untapped by ordinary consciousness. . . . Would that we could send robots who could film these psychedelic realities. . . . The presence of so much beauty is an argument to me that truth cannot be far away.,
"What the psychedelics are for us as a species, rather than for each one of us as an individual, what they are for us as a species is an enzyme that catalyzes the language-making capacity.",
"The psychedelic universe, whatever it is, is the major datum of experience. It's larger than this planet. Nobody knows how large it is. The further in you go the bigger it gets. We don't know what to make of something like that. It's the reverse of our expectations.",
"LSD burst over the dreary domain of the constipated bourgeoisie like the angelic herald of a new psychedelic millennium. We have never been the same since, nor will we ever be, for LSD demonstrated, even to skeptics, that the mansions of heaven and gardens of paradise lie within each and all of us.",
"History, call it 15,000 or 25,000 years of duration, is the story of an animal, some kind of complex animal, becoming conscious.",
"What we need to change is our minds, that's the part that's doing us dirt and dragging us under. How can we change our minds.",
"Even a billion people is too much. There's no way back to the simplicity we once knew, but there may be a way forward to the simplicity that we once knew.",
I believe that the totemic image for the future is the octopus. This is because the squids and octopi have perfected a form of communication that is both psychedelic and telepathic,a model for the human communications of the future. In the not-too-distant future men and women may shed the monkey body to become virtual octopi swimming in a silicon sea.
"Meaning lies in the confrontation of contradiction - the coincidencia apositorum. That’s what we really feel, not these rational schemes that are constantly beating us over the head with the “thou shalts” and “thou should”, but rather a recovery of the real ambiguity of being and an ability to see ourselves as at once powerful and weak, noble and ignoble, future-oriented, past-facing.",
"A lot of people pass through the thinking I'm a guru and take enough trips to understand that no, I was just a witness. I was just a witness.",
Shamanism is essentially a living tradition of alchemy that is not seeking the stone but has found the stone.,
Ideology always paves the way toward atrocity.,
"When your time is turned into money, the felt presence of immediate experience is analogous to being enslaved. I mean, let's be frank about it, it is enslavement.",
"In the silence, in the darkness, swept away by these alien alkaloids and the plant-mind behind them, you find out a truth that can barely be told. And most of it can't be told.",
The problem is we have to transcend cultural languages and fall into a phase with the communication systems that nature has placed all around us.,
"One reaches through to the continents and oceans of the imagination, worlds able to sustain anyone who will but play, and then lets the play deepen and deepen until it is a reality that few would even dare to entertain...The human imagination is the holographic organ of the human body, and we don't 'imagine' anything. We simply see things so far away that there is no possibility of validating or invalidating their existence.",
"The fungi became, or is for some mysterious reason still to be discovered, a pipeline into a mind, an entelechy, which we can only image as feminine and can only associate somehow to the environment, to the ecosystem. This is the Gaian mind. This is what the goddess really is. The goddess is a network of connective intelligence that is operating on this planet.",
Ayahuasca loves to take prideful people and rub their nose in it. I mean it can make you beg for mercy like nothing. You have to really approach it humbly.,
"The psychedelic experience is the beginning of the spiritual path. That's why it's not important that yogas' claim that they can deliver you the psychedelic experience, because it begins with the psychedelic experience, and then you go from there.",
"One way to think about what psychedelics are is as catalysts for language development. They literally force the evolution of language. You cannot evolve faster than your language because the language defines the culture of meaning. So if there's a way to accelerate the evolution of language then this is real consciousness expansion and it's a permanent thing. The great legacies of the 60's are in attitudes and language. It boils down to doing your own thing, feeling the vibe, ego-trip, blowing your mind.",
"I do not think that the government, under the guise of some phony, alarmist, pseudo-scientific rhetoric, should attempt to control the evolution of consciousness. After all, if these things truly are consciousness-expanding, it doesn't take too much intelligence to realize that it is the absence of consciousness that is causing our flirtation with extinction and planetary disaster.",
"We are all cells of a much larger body, and like the cells of our own body it is hard for us to glimpse the whole pattern of the whole of what is happening, and yet we can sense that there is a purpose, and there is a pattern.",
"We are led by the least among us - the least intelligent, the least noble, the least visionary.",
"The things I encounter that I call elves or gnomes, it's just a gloss. I mean, they're small, and they have the archetype. They're more like leprechauns, and this maybe raises a racial issue.",
Matter is simply a concept. The world is made of language.,
"We're not dropping out here, we're infiltrating and taking over.",
"This is in fact what shamanism is all about, what the end of history is all about, what psychedelic drugs are all about, we are edge-walking on an ontological transformation of what it means to be human.",
"...situations evolve as matter responds to the conditioning of time and space...If you know what is contained in time from its beginning to its end you are somehow no longer in time. Even though you still have a body and still eat and do what you do, you have discovered something that liberated you into a satisfying all-at-oneness.",
I sort of see [cannabis] as the pilot light of Gian consciousness.,
"The testimony of DMT, for me, is that there is a nearby dimension, teeming with intelligences, that from one of the more conservative perspectives seems like an ecology of souls.",
The tryptamine molecule has this unique property of releasing the structured self into the over-self.,
Art's task is to save the soul of mankind.. anything less is a dithering while Rome burns.,
"Actually, the highest form of human organization is not realized in the democratic individual. It is realized in a dimension none of us have ever penetrated, which is the mind of the species, which is actually the hand at the tiller of history. . . . It is an organized entelechy of some sort, and human history is its signature on the primates.",
"Cultural conditioning is like bad software. Over and over it's diddled with and re-written so that it can just run on the next attempt. But there is cultural hardware, and it's that cultural hardware, otherwise known as authentic being, that we are propelled toward by the example of the shaman and the techniques of the shaman. ... Shamanism therefore is a call to authenticity.",
The felt presence of immediate experience-- this is all you know. Everything else comes as unconfirmed rumor.,
"Ultimately what we're touching is the invisible, all-pervasive intelligence that surrounds us and penetrates us. It is grooming us to be able to tolerate its splendor. It can't just reveal itself openly because we would be forfeited; we'd never know what hit us.",
"We are creatures of information and the imagination. The monkey we are already beginning to transform and shed. We don't look like the other monkeys, and we look less like them all the time.",
"The human imagination, in conjunction with technology, has become a force so potent that it really can no longer be unleashed on the surface of the planet with safety.",
"The intellectual tension that seems to work its way through this society almost like fat through meat is the tension between scientific reductionism and the deeply felt intuition of most people that there is a spiritual dimension, or a hidden dimension, or a transcendental dimension.",
"The current operating system [culture] is flawed. It actually has bugs in it that generate contradictions. We're cutting the earth from beneath our own feet. We're poisoning the atmosphere that we breathe. This is not intelligent behaviour. This is a culture with a bug in its operating system that's making it produce erratic, dysfunctional, malfunctional behaviour. Time to call a tech! And who are the techs? The shamans are the techs.",
"The real truth that dare not speak itself, is that no one is in control, absolutely no one... Nobody is in control. This stuff is ruled by the equations of dynamics and chaos. Now, there may be entities seeking control - the World Bank, the Communist Party, the rich, the somebody-or-others - but to seek control is to take enormous aggravation upon yourself... It's like trying to control a dream.",
Psychedelic telepathy is you 'see' what I mean.,
The idea of psychedelic societies is something new. And it doesn't necessarily mean that everyone takes the drug. It merely means that the complexity and the mysteriousness of mind are centered in the consciousness of the civilization as the mystery which it comes from and which it must relate to in order to be relevant.,
Culture as we're practicing it is causing a lot of pain.,
"The same organizational principles which called us forth into self-reflection have called forth self-reflection out of the planet itself. And the problem then is for us to suspect this, act on our suspicion, and be good detectives, and track down the spirit in its lair. And this is what shamans are doing. They are hunters of spirit.",
Without an understanding and a familiarity of the psychedelic experience you should be sued for fraud if you're practicing psychotherapy.,
"We have outlived this embryo, this human cradle, and now it's time to be up and about the great business of becoming citizens of the galaxy and at home with our own heart.",
"Alchemy is about the generation of a psychic construct, a wholeness, a thing which has many properties, which is paradoxical, which is both mind and matter, which can do anything.",
"Psilocybin, tryptamine, is in my opinion the means to eliminating the future by becoming cognizant of the architecture of eternity, which is modulating time and causing history, essentially.",
"Well, certainly the Voynich Manuscript is the 'limit text' of Western occultism. No one can read it. It is truly an occult book.",
Earth is a place where language has literally become alive. Language has infested matter,it is replicating and defining and building itself. And it is in us.
"Well, you could almost say, I suppose, that the scientist seeks what is similar between any two days, or bluebirds, or glaciers. And the poet seeks what is different. The artist seeks to celebrate the unique.",
Why does mathematics describe nature. That's a deeper question than most.,
"Part of what the psychedelic point of view represents is living a certain portion of your life without answers. Just accepting that certain dilemmas will never resolve themselves into some kind of a complete answer. That's why psychedelics are so different from any system being sold, from one of the great elder systems like Christianity, to the latest cult out of Los Angeles.",
"Nothing is as boundary dissolving, except for psychedelic compounds, as travel. Travel is up there.",
I connect the psychedelic dimension to the dimension of inspiration and dream.,
"Modernity is a desert, and we are jungle monkeys. And so new evolutionary selective pressures are coming to bear upon the human situation, new ideas are coming to the fore. Psilocybin is a selective filter for this. The wish to go to space is a selective filter for this. Just the wish to know your own mind is a selective filter for this.",
I think psychedelics are sort of like doing calisthenics in preparation for the marathon at the end of time.,
"Death is the black hole of biology. It's an event horizon, and once you go over that event horizon, no information can be passed back out of the hole.",
"A global society is coming into being, a global society that is made out of information that was not intended to be ours, but is ours, by the mistaken invention of computers and the printing press, information is power, and information has spilled by the clumsy hands of the dominator culture so that the information is everywhere, never before has the situation been so fluid, we might be able to finally have a crack at this",
"The Earth itself is stepping in to aid in the agenda of cultural transformation. There are too many doorways in nature that lead to heaven, there are too many paths to the mystery for any institution or social policy to be able to thwart the intent of the human species to evolve.",
"What the psychedelic thing can be seen as, when it's done with plants, as a return to Gaia, an immersion in the feminine.",
There is a morphological enfoldment occurring on this planet. It is bringing forth some entirely new order of being. We are a privileged part of this.,
"If psychedelics are exopheromones that dissolve the dominant ego, then they are also enzymes that synergize the human imagination and empower language. They cause us to connect and reconnect the contents of the collective mind in ever more implausible, beautiful, and self-fulfilling ways.",
The real truth is splintered and spread throughout time.,
"We now know enough to fantasize realistically about what the alien would be like, and I think that this then sets up polarities in the collective psyche that previously we have only seen at the level of the individual.",
"No one is in charge of this process, this is what makes history so interesting, it's a runaway freight train on a dark and stormy night.",
"What history is, essentially, is a careening, out-of-control effort to find our way back to this state of primordial balance.",
I regard these people who are peddling angst and peddling pessimism and all that stuff as so 'two minutes ago'.,
"It puts people who are into this psychedelic thing in an entirely different stance from all other spiritual seekers, because all other spiritual seekers are furiously seeking. Psychedelic people are holding it back with all their power, because they are in the presence of the mystery. And then the trick is to get a spigot on it so that it can be turned on and off rather than coming at you like a tidal wave a mile high and twenty miles wide.",
"Language is something that springs from the biological matrix, and the neurological matrix, within us.",
"Inevitably out of the psychedelic experience emerges not despair, not self-indulgence, but wild-eyed idealism, that's the inevitable product of any psychedelically driven social process.",
History is a series of approximations of the final singularity.,
"It's possible to see the whole human growth movement of the 1970s as a wish to continue the inward quest without having to put yourself on the line in the way you had to when you took 250 gamma of LSD. And I think all these other methods are efficacious, but I think it's the sheer power of the hallucinogens that puts people off.",
"The ""just say no"" campaign at this point is a lot like drawing sea-monsters over certain unexplored areas of the map and expecting people to stay away. It may work for some, but explorers live for this kind of thing.",
"The 'public' has no history, has no future, lives in a golden moment created by credit, which binds them ineluctably to a fascist system that is never criticized. This is the ultimate consequence of having broken off this symbiotic relationship with the vegetable, feminine, maternal matrix of the planet.",
"The 'hard swallow' built into science is this business about the Big Bang. ... This is the notion that the universe, for no reason, sprang from nothing in a single instant. ... Notice that this is the limit test for credulity. . . . It's the limit case for likelihood.",
We have to claim anarchy and realize that systems have a life of their own that is anti-humanist. There is definitely an anti-humanist tendency in all systems.,
The only evil that associates itself with mushrooms is taking too little.,
The plants are the pipeline into the Gaian intention. It's just not a coincidence that these plants carry this immense spiritual message. They are the pipeline of Gaian intentionality.,
"If psychedelics are, on any level, to be taken seriously as catalyzers or expanders of consciousness, then we need them, because it's an absence of consciousness that is making this historical transition so excruciating.",
"The other night I searched (the Web) for 'self-transforming elf machines.' There were 36 hits! It surprised me. I sort of use the search engine like an oracle. I've used the phrase for DMT, 'Arabian hyperspace.' So I thought of this, and then I searched it, 'Arabian hyperspace,' in quotes. And it took me right to a transcript of the talk in which I'd said the thing! You can find your own mind on the Internet. I'm very grateful to the people who type up my talks and then post them at their websites.",
Man was not put on this planet to toil in the mud. Or the god who put us on this planet to toil in the mud is no god I want to have any part of. It's some kind of gnostic demon. It's some kind of cannibalistic demiurge that should be thoroughly renounced and rejected.,
One of the things that's so striking about shamanism in the native context is the absence of mental illness.,
"If I can paraphrase Teilhard de Chardin for a moment, he said, or I will paraphrase in this way, 'When the human race understands the potential of the hallucinogenic drug experience, it will have discovered fire for the second time.'",
All information is everywhere. Information that is not here is nowhere.,
Science works its miracles by turning its enterprise into a kind of parlor game confined to the category matter and energy.,
We need a metaphor that can contain the daemon of the future that we have conjured into being.,
"Could any symbol be any more appropriate of the ambiguity of human transformation? What mushroom is it that grows at the end of history? Is it Stropharia cubensis, or is it the creation of Edward Teller? This is an unresolved problem.",
"Ecstasy is a complex emotion containing elements of joy, fear, terror, triumph, surrender, and empathy. What has replaced our prehistoric understanding of this complex of ecstasy now is the word comfort, a tremendously bloodless notion. Drugs are not comfortable, and anyone who thinks they are comfortable or even escapist should not toy with drugs unless they’re willing to get their noses rubbed in their own stuff.",
"We must look to the native healers all over the world and study their methods... Their methods are chemical and personal. It's a combination of care, attention, intention and chemistry that allows consciousness to be made malleable and recast in other forms.",
"One has attained a very fortunate incarnation, I think, to be in a culture, in a place, in a time when psychedelic knowledge is available.",
"So part of what being psychedelic means, I think, is relentlessly living with unanswered questions.",
"You will ride the Tao 
 toward the concrescence 
 and will be able to live in the light 
 of its anticipation.",
"Since the very beginning of culture, what we seem to be are animals which take in raw material and excrete it imprinted with ideas.",
"I think that the whole thing, the crux of the whole psychedelic issue, is that it accentuates personal responsibility by making people take their own experiences seriously.",
There's only the integrity of doing and having done.,
"But technology is the real skin of our species. Humanity, correctly seen in the context of the last five hundred years, is an extruder of technological material. We take in matter that has a low degree of organization; we put it through mental filters, and we extrude jewelry, gospels, space shuttles. This is what we do. We are like coral animals embedded in a technological reef of extruded psychic objects. All our tool making implies our belief in an ultimate tool. That tool is the flying saucer, or the soul, exteriorized in three-dimensional space.",
One way of assessing the toxicity of a drug is how do you feel the next day?,
"What we call three dimensional space, and what we call the imagination actually have a contiguous and continuous transformation from one into the other, ... and THIS is big news!",
"Although whenever you have intelligent life in the presence of large explosions, a safe bet is that the intelligent life is responsible for the large explosion.",
"That's the core puzzling experience, when you meet the Other organized as a speaking mind.",
Because the planetary culture is becoming ever more closely knitted together all its parts are becoming co-dependent.,
"It's getting funnier because everybody's categories are disintegrating, and the cult of political correctness dictates that we never point out that other people don't make sense.",
"This unique strategy that the advanced primates created, the strategy of using language to bind time, is what the process we call 'civilization' has been all about.",
"Flying saucers are nothing more than miracles, and they occur essentially to bedevil science.",
"We can't sell short the spiritual power of cannabis, especially when eaten.",
"Everything appears to me to be authored, in some strange way. And I wonder if this is not the spreading assumption of the psychedelic     illusion/delusion/revelation that life is in fact art.",
"If reality is code, then it can be hacked in some way that we had not suspected before.",
"You may miss the end of the world, but you definitely are going to have a front row seat for the end of your world.",
We need a pharmacological intervention on anti-social behavior or we are not going to get hold of our dilemma.,
Psychedelics are probably responsible for every aspect of human evolution apart from the decline in bodyhair.,
The message coming back at all of us is: live without closure.,
"Spaceflight is nothing less than the exterior metaphor for the shamanic voyage. In other words, in our terms, the hallucinogenic experience. This is the way engineers get high. They go to the moon!",
"Marcel Eliade took the position that hallucinogenic shamanism was decadent, and Gordon Wasson, very rightly I believe, contravened this view and held that actually it was very probably the presence of the hallucinogenic drug experience in the life of early man that lay the very basis for the idea of the spirit.",
Our task is to create memes... Launch your meme boldly and see if it will replicate.,
"I think the cybernetic matrix is a tremendous tool for feminizing, and radicalizing, and psychedelicizing the social matrix. I see computers as entirely feminine.",
"What's popularly known as the evolution of consciousness, in other words that the expansion of cognitive repertoire that occurs in human beings, which has always been a great puzzle to evolutionary theory, I believe, occurred in the presence of a kind of catalyst for the human imagination.",
Memory training is great psychedelic training.,
"What is the psychedelic experience? What promise does it hold for a sane future for our planet and our children? And what is it about it that kindles the kind of loyalty that I feel coming from the people in this room this evening? And I submit to you that it is nothing less than the rebirth of a voice that has been silent for at least a thousand years, the still small voice of the Logos of the planet.",
We are the damaged heirs of a damaged cultural style which has been practiced now for about seven thousand years.,
"I have a skeptical and cranky side, and I'm forever puzzled why people believe the, seeming to me, dumb things that they choose to believe.",
"Now, through the catalytic interaction with technology, the human species is getting set to redefine itself.",
"If you take psychedelics and the Internet and music and put all of that together you have the basis for a new community that is wider and deeper than you know. The people who are building the new machines, who are designing the new circuitry, who are writing the new code are ALL freaks. They work for capitalist dogs, of course, because we all do, but the creative thrust of these technologies is being driven by people just like you and me.",
"What is needed, is an awakening.",
"The shaman has access to a superhuman dimension and a superhuman condition, and by being able to do that he affirms the potential for transcendence in all people. He is an exemplar, if you will.",
"I think what's really happening is that a dialogue opens up between the ego and these larger, more integrated parts of the psyche that are normally hidden from view.",
